"Bokföringsdag";"Specifikation";"Belopp";"Valuta";"Saldo";"Status";"Avstämt"
"2026-03-12";"Sample transfer in";"8.000,00";"   ";"";"Utförd";"Nej"
"2026-03-02";"Sample household";"-4.500,00";"   ";"";"Utförd";"Nej"
"2026-02-11";"Sample transfer in";"8.000,00";"   ";"";"Utförd";"Nej"
"2026-02-01";"Sample household";"-4.500,00";"   ";"";"Utförd";"Nej"
"2026-01-29";"Sample transfer in";"7.800,00";"   ";"";"Utförd";"Nej"
"2026-01-09";"Sample household";"-4.400,00";"   ";"";"Utförd";"Nej"
"2025-12-27";"Sample transfer in";"7.800,00";"   ";"";"Utförd";"Nej"
"2025-12-04";"Sample household";"-4.400,00";"   ";"";"Utförd";"Nej"
"2025-11-24";"Sample transfer in";"7.800,00";"   ";"";"Utförd";"Nej"
"2025-11-03";"Sample household";"-4.300,00";"   ";"";"Utförd";"Nej"
"2025-10-21";"Sample transfer in";"7.800,00";"   ";"";"Utförd";"Nej"
"2025-10-02";"Sample household";"-4.300,00";"   ";"";"Utförd";"Nej"
