"Bokföringsdag";"Specifikation";"Belopp";"Valuta";"Saldo";"Status";"Avstämt"
"2026-03-15";"Sample in salary";"42.000,00";"   ";"";"Utförd";"Nej"
"2026-03-10";"Sample grocery";"-1.200,00";"   ";"";"Utförd";"Nej"
"2026-02-28";"Sample in salary";"42.000,00";"   ";"";"Utförd";"Nej"
"2026-02-14";"Sample transfer";"-500,00";"   ";"";"Utförd";"Nej"
"2026-01-31";"Sample in salary";"42.000,00";"   ";"";"Utförd";"Nej"
"2026-01-12";"Sample fee";"-99,00";"   ";"";"Utförd";"Nej"
"2025-12-20";"Sample in salary";"41.500,00";"   ";"";"Utförd";"Nej"
"2025-12-05";"Sample shop";"-800,00";"   ";"";"Utförd";"Nej"
"2025-11-28";"Sample in salary";"41.500,00";"   ";"";"Utförd";"Nej"
"2025-11-10";"Sample shop";"-750,00";"   ";"";"Utförd";"Nej"
"2025-10-25";"Sample in salary";"41.500,00";"   ";"";"Utförd";"Nej"
"2025-10-08";"Sample shop";"-700,00";"   ";"";"Utförd";"Nej"
