"Bokföringsdag";"Specifikation";"Belopp";"Valuta";"Saldo";"Status";"Avstämt"
"2026-03-14";"Sample rent out";"18.000,00";"   ";"";"Utförd";"Nej"
"2026-03-01";"Sample utilities";"-3.200,00";"   ";"";"Utförd";"Nej"
"2026-02-14";"Sample rent out";"18.000,00";"   ";"";"Utförd";"Nej"
"2026-02-03";"Sample utilities";"-3.100,00";"   ";"";"Utförd";"Nej"
"2026-01-30";"Sample rent out";"18.000,00";"   ";"";"Utförd";"Nej"
"2026-01-08";"Sample utilities";"-3.050,00";"   ";"";"Utförd";"Nej"
"2025-12-28";"Sample rent out";"17.500,00";"   ";"";"Utförd";"Nej"
"2025-12-07";"Sample utilities";"-3.000,00";"   ";"";"Utförd";"Nej"
"2025-11-25";"Sample rent out";"17.500,00";"   ";"";"Utförd";"Nej"
"2025-11-06";"Sample utilities";"-2.950,00";"   ";"";"Utförd";"Nej"
"2025-10-22";"Sample rent out";"17.500,00";"   ";"";"Utförd";"Nej"
"2025-10-05";"Sample utilities";"-2.900,00";"   ";"";"Utförd";"Nej"
